date,open,high,low,close,adj_close,volume,return_1d,return_7d,abs_return_1d,volatility_7,volume_change,high_low_range,ma_7,ma_30,ma_ratio,price_usd,active_addresses,tx_count,hash_rate,supply_current,fee_usd,difficulty,miner_revenue_usd,estimated_transaction_volume_usd,price_usd_change,active_addresses_change,tx_count_change,hash_rate_change,difficulty_change,fee_usd_change,miner_revenue_usd_change,supply_current_change,estimated_transaction_volume_usd_change,event_today,event_window_3d,event_window_7d,event_window_14d,event_name,event_type,region,severity,volume_change_high,abs_return_1d_high,volatility_7_high,high_low_range_high,active_addresses_change_high,tx_count_change_high,fee_usd_change_high,miner_revenue_usd_change_high,hash_rate_change_high,difficulty_change_high,estimated_transaction_volume_usd_change_high,target_next_day_up
2015-07-20,273.4989929199219,278.9809875488281,272.9599914550781,278.9809875488281,278.9809875488281,22711400,0.01961512791296327,-0.04476226551132312,0.01961512791296327,0.01540094305489978,0.4812587640632644,0.022014692008437836,279.7642822265625,266.66576487223307,1.0491196061879382,279.114393045003,283750.0,125270.0,396087.110741061,14405864.76669081,11636.8075184166,51076366303.4819,1168610.80751842,56607639.4441101,0.013921737387936561,-0.04183508420032489,0.06467788543260244,0.026315789473683404,0.0,1.0613816262867202,0.024846247517796183,0.00027079638529037275,0.5290359846799728,0,0,0,0,None,None,None,None,1,0,0,0,0,0,1,0,0,1,1,0.0
2015-07-21,278.8819885253906,280.5469970703125,275.41900634765625,275.8330078125,275.8330078125,22930700,-0.011283850430048203,-0.04046065552538214,0.011283850430048203,0.01504190986446831,0.009655943711087911,0.01838767268467528,278.1027134486607,267.7287317911784,1.0387481074148357,276.652412624196,313410.0,134200.0,322455.532462274,14409039.76669037,7889.2431060954,51076366303.4819,1047201.4931061,64516479.0979673,-0.008820686006006273,0.1045286343612335,0.07128602219206503,-0.1858974358974359,0.0,-0.32204403195552067,-0.10389200034024704,0.0002203963490550187,0.13971329190763648,0,0,0,0,None,None,None,None,0,0,0,0,1,0,0,0,0,1,0,1.0
2015-07-22,275.6570129394531,277.6659851074219,274.3810119628906,277.22198486328125,277.22198486328125,19389800,0.005035572289903145,-0.030112496790267396,0.005035572289903145,0.015589619861717138,-0.15441744037469418,0.011916885804943335,276.8731384277344,268.73646443684896,1.0302775211690613,277.764369082408,287455.0,128982.0,391009.070859765,14412889.76669009,8468.34703836,51076366303.4819,1253888.34703836,60428196.3797901,0.0040193268067481025,-0.08281484317666954,-0.03888226527570793,0.21259842519684935,0.0,0.07340424480228913,0.19737066390080016,0.00026719337735614523,-0.0633680382955989,0,0,0,0,None,None,None,None,0,0,0,0,0,0,0,1,1,1,0,0.0
2015-07-23,277.34100341796875,278.1109924316406,275.71600341796875,276.04901123046875,276.04901123046875,18531300,-0.004231171035699033,-0.007335702261309307,0.004231171035699033,0.011990571540454145,-0.044275856378095724,0.008635538864271323,276.5817129952567,269.7948979695638,1.0251554609696827,276.811628579778,264413.0,110507.0,355462.791690696,14416389.76669006,7825.2142230647,51076366303.4819,1119705.21422306,57351034.1334135,-0.003430031381553178,-0.08015863352524744,-0.1432370408274023,-0.09090909090908961,0.0,-0.07594549590162414,-0.10701362137405279,0.00024283818558434866,-0.05092262272791803,0,0,0,0,None,None,None,None,0,0,0,0,0,0,0,0,0,1,0,1.0
2015-07-24,276.0050048828125,289.25299072265625,275.2539978027344,288.27801513671875,288.27801513671875,37199400,0.044300118488887597,0.03150952778950433,0.044300118488887597,0.021044863355307517,1.0073821048712177,0.05072006910115863,277.83971732003346,271.3869984944661,1.0237768163595313,289.305976329632,264644.0,108126.0,429094.369969483,14420614.76667983,7565.6792182924,51076366303.4819,1438918.92921829,78120284.9283013,0.04513664333380096,0.0008736332933705349,-0.021546146397965704,0.20714285714285707,0.0,-0.03316650475936156,0.28508728095610913,0.0002930692120666212,0.3621425682852222,0,0,0,0,None,None,None,None,1,1,0,0,0,0,0,1,1,1,1,1.0
2015-07-25,288.16400146484375,290.7330017089844,286.00201416015625,288.6969909667969,288.6969909667969,20662200,0.0014533742015652162,0.05018530285893941,0.0014533742015652162,0.019068976133325446,-0.44455555734769914,0.016417691053631864,279.8105730329241,272.9169316609701,1.0252591194324199,289.507639976622,243324.0,100567.0,395370.72515724,14424464.76667982,6692.78252167001,52278304845.5917,1408342.78252167,59421326.3827129,0.0006970600799487414,-0.0805610556067774,-0.0699091800307049,-0.07859260613147034,0.023532185805235306,-0.11537585343453216,-0.021249388048033224,0.0002669789091713781,-0.23936111552524786,0,0,0,0,None,None,None,None,0,0,0,0,0,0,0,0,0,1,0,1.0
2015-07-26,288.6400146484375,293.052001953125,287.70599365234375,292.6860046386719,292.6860046386719,16032300,0.013817302558355227,0.06970399911485714,0.013817302558355227,0.018423266337361015,-0.22407584865116004,0.018521369281707768,282.53514317103793,274.55333201090497,1.0290719879510184,293.314842781999,299700.0,93547.0,374222.682670225,14428064.76667962,7114.1041597704,52278304845.5917,1277746.10415977,41154292.4221804,0.013150612556146912,0.2316910785619175,-0.06980421012857096,-0.053489146113699704,0.0,0.0629516403284025,-0.09273074707569673,0.00024957598483066334,-0.3074154528776527,0,0,0,0,None,None,None,None,0,0,0,0,1,0,0,0,0,1,0,1.0
2015-07-27,292.6390075683594,297.77398681640625,287.45001220703125,293.6239929199219,293.6239929199219,30592000,0.0032047595935034145,0.052487466976691044,0.0032047595935034145,0.01800781627472632,0.9081479263736332,0.035278873774075924,284.6270010811942,275.97446492513023,1.0313526693797967,294.426761835184,283647.0,114211.0,387216.525818497,14431789.76667941,10985.4098525622,52278304845.5917,1306713.90985256,70720346.5133905,0.003790872097159337,-0.05356356356356351,0.22089430981218006,0.03472222222222299,0.0,0.5441733218756726,0.02267101859945697,0.00025817738276256996,0.7184196921163748,0,0,0,0,None,None,None,None,1,0,0,0,0,1,1,0,0,1,1,1.0
2015-07-28,293.63299560546875,296.64898681640625,293.4230041503906,294.427001953125,294.427001953125,25453600,0.002734820902126067,0.06741033021423037,0.002734820902126067,0.016270138837110912,-0.16796548117154808,0.010986444692169816,287.28328595842635,277.4883316040039,1.0352986170546463,295.410125268849,303847.0,121880.0,353432.53363299,14435189.76667941,8449.4329937927,52278304845.5917,1066597.43299379,85471313.393753,0.003339925445416947,0.07121527814501838,0.06714764777473281,-0.08724832214765255,0.0,-0.23084954433247817,-0.1837559660521736,0.0002355910150417806,0.2085816544686967,0,0,0,0,None,None,None,None,0,0,0,0,1,0,0,0,0,1,0,0.0
2015-07-29,294.4840087890625,294.5360107421875,288.7770080566406,289.5899963378906,289.5899963378906,24672600,-0.01642853944491296,0.0446141076462927,0.01642853944491296,0.019033791042278883,-0.030683282521922206,0.01955624928235754,289.0501447405134,278.572531636556,1.0376117955435291,289.85583635301,312401.0,140018.0,395012.83170746,14438989.76665941,12707.509237896,52278304845.5917,1320651.5092379,72096185.5168937,-0.018801958500183957,0.028152326664406813,0.1488185100098458,0.11764705882353121,0.0,0.5039481640047869,0.2381911566494359,0.0002632455853661675,-0.1564867479600106,0,0,0,0,None,None,None,None,0,0,0,0,0,1,1,1,1,1,0,0.0
